epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
0,0.5,0.5,0.5,0.5,0.001
1,0.49204545454545456,0.5079545454545454,0.49318181818181817,0.5068181818181818,0.001
2,0.4840909090909091,0.5159090909090909,0.48636363636363633,0.5136363636363637,0.001
3,0.4761363636363637,0.5238636363636363,0.4795454545454545,0.5204545454545455,0.001
4,0.46818181818181814,0.5318181818181819,0.4727272727272728,0.5272727272727272,0.001
5,0.4602272727272727,0.5397727272727273,0.46590909090909094,0.5340909090909091,0.001
6,0.45227272727272727,0.5477272727272727,0.4590909090909091,0.5409090909090909,0.001
7,0.44431818181818183,0.5556818181818182,0.45227272727272727,0.5477272727272727,0.001
8,0.4363636363636364,0.5636363636363636,0.44545454545454544,0.5545454545454546,0.001
9,0.42840909090909096,0.571590909090909,0.4386363636363636,0.5613636363636364,0.001
10,0.4204545454545454,0.5795454545454546,0.43181818181818177,0.5681818181818182,0.001
11,0.4125,0.5875,0.42500000000000004,0.575,0.001
12,0.40454545454545454,0.5954545454545455,0.4181818181818182,0.5818181818181818,0.001
13,0.3965909090909091,0.6034090909090909,0.4113636363636364,0.5886363636363636,0.001
14,0.38863636363636367,0.6113636363636363,0.40454545454545454,0.5954545454545455,0.001
15,0.38068181818181823,0.6193181818181818,0.3977272727272727,0.6022727272727273,0.001
16,0.3727272727272728,0.6272727272727272,0.3909090909090909,0.6090909090909091,0.001
17,0.36477272727272725,0.6352272727272728,0.38409090909090904,0.615909090909091,0.001
18,0.3568181818181818,0.6431818181818182,0.3772727272727272,0.6227272727272728,0.001
19,0.3488636363636364,0.6511363636363636,0.37045454545454537,0.6295454545454546,0.001
20,0.34090909090909094,0.6590909090909091,0.36363636363636365,0.6363636363636364,0.001
21,0.3329545454545455,0.6670454545454545,0.3568181818181818,0.6431818181818182,0.001
22,0.32499999999999996,0.675,0.35,0.65,0.001
23,0.31704545454545463,0.6829545454545454,0.34318181818181814,0.6568181818181819,0.001
24,0.3090909090909091,0.6909090909090909,0.3363636363636363,0.6636363636363637,0.001
25,0.30113636363636365,0.6988636363636364,0.3295454545454545,0.6704545454545455,0.001
26,0.2931818181818182,0.7068181818181818,0.32272727272727275,0.6772727272727272,0.001
27,0.2852272727272728,0.7147727272727272,0.3159090909090909,0.6840909090909091,0.001
28,0.27727272727272734,0.7227272727272727,0.3090909090909091,0.6909090909090909,0.001
29,0.2693181818181818,0.7306818181818182,0.30227272727272725,0.6977272727272728,0.001
30,0.26136363636363635,0.7386363636363636,0.2954545454545454,0.7045454545454546,0.001
31,0.2534090909090909,0.7465909090909091,0.2886363636363636,0.7113636363636364,0.001
32,0.24545454545454548,0.7545454545454545,0.28181818181818175,0.7181818181818183,0.001
33,0.23750000000000004,0.7625,0.2749999999999999,0.7250000000000001,0.001
34,0.2295454545454545,0.7704545454545455,0.2681818181818181,0.7318181818181819,0.001
35,0.22159090909090917,0.7784090909090908,0.26136363636363635,0.7386363636363636,0.001
36,0.21363636363636362,0.7863636363636364,0.2545454545454545,0.7454545454545455,0.001
37,0.2056818181818182,0.7943181818181818,0.24772727272727268,0.7522727272727273,0.001
38,0.19772727272727275,0.8022727272727272,0.24090909090909085,0.7590909090909091,0.001
39,0.18977272727272732,0.8102272727272727,0.23409090909090902,0.765909090909091,0.001
40,0.18181818181818188,0.8181818181818181,0.2272727272727273,0.7727272727272727,0.001
41,0.17386363636363633,0.8261363636363637,0.22045454545454546,0.7795454545454545,0.001
42,0.165909090909091,0.834090909090909,0.21363636363636362,0.7863636363636364,0.001
43,0.15795454545454546,0.8420454545454545,0.2068181818181818,0.7931818181818182,0.001
44,0.15000000000000002,0.85,0.19999999999999996,0.8,0.001
45,2.5,0.3,3.0,0.25,0.001
46,5.0,0.15,6.0,0.12,0.001
47,8.0,0.1,9.0,0.08,0.001
48,12.0,0.05,13.0,0.04,0.001
49,15.0,0.02,16.0,0.02,0.001
50,20.0,0.01,22.0,0.01,0.001
51,20.0,0.01,22.0,0.01,0.001
52,20.0,0.01,22.0,0.01,0.001
53,20.0,0.01,22.0,0.01,0.001
54,20.0,0.01,22.0,0.01,0.001
55,20.0,0.01,22.0,0.01,0.001
56,20.0,0.01,22.0,0.01,0.001
57,20.0,0.01,22.0,0.01,0.001
58,20.0,0.01,22.0,0.01,0.001
59,20.0,0.01,22.0,0.01,0.001
